accession	start	end	direction	length
PST83892.1_9	8973	10283	1	437
PST83892.1_10	10285	11067	1	261
PST83892.1_11	11051	12268	1	406
PST83892.1_12	12268	13476	1	403
PST83892.1_13	13531	16551	1	1007
PST83892.1_14	16548	18656	1	703
PST83892.1_15	18631	20001	1	457
PST83892.1_16	20001	20924	1	308
PST83892.1_17	20913	21560	-1	216
PST83892.1_18	21810	22538	-1	243
PST83892.1_19	23140	23751	-1	204
PST83892.1_20	24274	24651	1	126
PST83892.1_21	25406	25603	1	66
PST83892.1_22	25575	26456	1	294
PST83892.1_23	26588	27187	-1	200
PST83892.1_24	27147	28619	-1	491
PST83892.1_25	28726	28905	1	60
PST83892.1_26	28922	29173	-1	84
PST83892.1_27	29909	30220	1	104
PST83892.1_28	30193	31026	1	278
PST83892.1_29	31403	31711	1	103
PST83892.1_30	31743	32504	1	254
PST83892.1_31	32655	35309	1	885
PST83892.1_32	35558	36631	-1	358
PST83892.1_33	36833	37633	-1	267
PST83892.1_34	37842	37943	-1	34
PST83892.1_35	37981	38991	1	337
PST83892.1_36	39068	39397	1	110
PST83892.1_37	39406	40923	-1	506
WP_107213801.1_1	284	541	-1	86
WP_107213801.1_2	865	2283	1	473
WP_107213801.1_3	3197	3706	1	170
WP_107213801.1_4	3711	4832	1	374
WP_107213801.1_5	4822	5763	-1	314
WP_107213801.1_6	5920	6090	1	57
WP_107213801.1_7	6391	6744	1	118
WP_107213801.1_8	6931	8976	1	682
WP_107213801.1_9	8973	10283	1	437
WP_107213801.1_10	10285	11067	1	261
WP_107213801.1_11	11051	12268	1	406
WP_107213801.1_12	12268	13476	1	403
WP_107213801.1_13	13531	16551	1	1007
WP_107213801.1_14	16548	18656	1	703
WP_107213801.1_15	18631	20001	1	457
WP_107213801.1_16	20001	20924	1	308
WP_107213801.1_17	20913	21560	-1	216
WP_107213801.1_18	21810	22538	-1	243
WP_107213801.1_19	23140	23751	-1	204
WP_107213801.1_20	24274	24651	1	126
WP_107213801.1_21	25406	25603	1	66
WP_107213801.1_22	25575	26456	1	294
WP_107213801.1_23	26588	27187	-1	200
WP_107213801.1_24	27147	28619	-1	491
WP_107213801.1_25	28726	28905	1	60
WP_107213801.1_26	28922	29173	-1	84
WP_107213801.1_27	29909	30220	1	104
WP_107213801.1_28	30193	31026	1	278
WP_107213801.1_29	31403	31711	1	103
WP_107213801.1_30	31743	32504	1	254
WP_107213801.1_31	32655	35309	1	885
WP_107213801.1_32	35558	36631	-1	358
WP_107213801.1_33	36833	37633	-1	267
WP_107213801.1_34	37842	37943	-1	34
WP_107213801.1_35	37981	38991	1	337
WP_107213801.1_36	39068	39397	1	110
WP_107213801.1_37	39406	40923	-1	506
